order_number,date,casting_weight_gr,material,modul,inoculant_weight_gr
170631881,11/16/2022,38372,S,1.04,1430
170631861,11/16/2022,10863,S,0.91,603
170631885,11/15/2022,112445,S,1.04,4145
170631889,11/15/2022,53856,S,0.93,2515
170631863,11/16/2022,16728,S,0.92,827
170631865,11/15/2022,14484,S,0.91,805
170631867,11/16/2022,21284,S,0.97,969
170631869,11/22/2022,43248,I,3.3,1230
170631871,11/16/2022,21148,S,0.95,967
170631873,11/16/2022,46852,S,1.13,1348
170631875,11/22/2022,26357,I,2.76,659
170631859,11/22/2022,22644,I,3.15,625
170631821,11/14/2022,16755,I,3.25,433
170631823,11/14/2022,17245,I,2.57,437
170631825,11/12/2022,24623,G,1.7,439
170631833,11/21/2022,334655,G,2.13,5024
170631835,11/21/2022,334655,G,2.13,5024
170631845,11/15/2022,97757,G,1.97,1532
170631847,11/15/2022,82334,G,2.05,1242
170631851,11/16/2022,12852,S,0.94,623
170631853,11/22/2022,14994,I,3.64,441
170631855,11/22/2022,24072,I,3.55,675
170631857,11/22/2022,30559,I,2.82,709
170631971,11/17/2022,353090,I,1.48,4736
170631973,11/17/2022,322456,G,2.19,4756
170631975,11/17/2022,322456,G,2.19,4756
170631979,11/25/2022,38658,F,1.1,356
170631981,11/18/2022,29315,S,1.15,991
170631987,11/18/2022,20019,S,1.11,805
170631991,11/25/2022,43452,F,2.28,623
170631993,11/18/2022,18469,S,1.28,581
170631997,11/18/2022,43248,S,1.05,1594
170631999,11/18/2022,42534,S,1.05,1588
170632003,11/18/2022,93758,G,2.2,1396
170632005,11/17/2022,118238,G,2.12,1864
170632007,11/17/2022,225298,I,2.06,4420
170632009,11/17/2022,225298,I,2.06,4420
170632011,11/19/2022,225298,I,2.06,4420
170632013,11/18/2022,216087,G,1.72,4472
170632015,11/18/2022,216087,G,1.72,4472
170632017,11/19/2022,216087,G,1.72,4472
170632021,11/18/2022,359448,G,1.95,5549
170632023,11/18/2022,359448,G,1.95,5549
170632025,11/19/2022,359448,G,1.95,5549
170632027,11/17/2022,202072,G,1.98,2990
170632031,11/17/2022,428828,G,2.14,6356
170632033,11/17/2022,428828,G,2.14,6356
170632035,11/17/2022,428828,G,2.14,6356
170632039,11/18/2022,164781,G,1.98,2529
170632041,11/19/2022,164781,G,1.98,2529
170632049,11/22/2022,434520,I,1.5,5783
170632051,11/19/2022,500004,G,2.2,7301
170631891,11/15/2022,30226,S,0.93,1456
170631895,11/15/2022,15014,S,0.93,755
170631897,11/16/2022,289496,G,1.83,5105
170631899,11/16/2022,219045,G,1.6,4564
170631901,11/15/2022,114920,S,0.93,5433
170631903,11/15/2022,77724,S,1.17,2758
170631905,11/21/2022,198166,G,1.96,3150
170631907,11/16/2022,107494,S,1.17,3947
170631909,11/16/2022,29274,S,0.94,1676
170631911,11/16/2022,6161,S,0.89,457
170631913,11/16/2022,20910,S,0.94,1198
170631915,11/16/2022,40637,S,1.06,1989
170631917,11/18/2022,35795,S,1.22,1061
170631919,11/18/2022,20074,S,1.22,655
170631921,11/16/2022,45193,G,2.46,611
170631925,11/16/2022,513890,G,2.31,7301
170631929,11/16/2022,227664,G,2.46,3062
170631931,11/16/2022,114444,G,1.8,2163
170631935,11/16/2022,109915,S,1.34,2683
170631939,11/16/2022,83980,G,2.25,1224
170631941,11/16/2022,109412,G,1.97,1782
170631943,11/21/2022,31742,F,1.71,376
170631947,11/21/2022,31865,F,1.72,378
170631949,11/16/2022,38148,S,1.62,877
170631953,11/16/2022,53122,S,1.62,1226
170631955,11/16/2022,76378,G,1.83,1342
170631957,11/16/2022,45339,S,1.17,1608
170631959,11/21/2022,108416,G,1.81,1948
170631969,11/17/2022,353090,I,1.48,4736
170631713,11/14/2022,157005,I,1.46,2101
170631709,11/12/2022,226134,G,2.15,3404
170631707,11/12/2022,256612,G,1.97,4019
170631699,11/11/2022,208570,G,2.46,3110
170631695,11/13/2022,199430,I,1.5,2609
170631693,11/11/2022,25908,S,1.21,919
170631691,11/12/2022,12444,S,0.93,619
170631687,11/11/2022,182362,S,1.6,4007
170631685,11/14/2022,87910,S,1.24,1914
170631681,11/21/2022,34313,F,3.17,523
170631679,11/21/2022,19492,F,1.11,180
